Data,H,|I|,Out_Acc,In_Acc,Sol_Time,MIP_Gap,Obj_Val,Obj_Bound,Model,HP_Time,HP_Obj,HP_Rank,FP_CB_Time,FP_Num_CB,FP_Cuts,FP_Cuts_per_CB,VIS_CB_Time,VIS_Num_CB,VIS_Cuts,Eps,Time_Limit,Rand_State,Warm_Start,Regularization,Max_Features
soybean-small,3,35,1.0,0.9714285714285714,0.4367399215698242,0.0,35.0,35.0,CUT1,0.48940056189894676,linear,0.9,0,0,0,0,0.4229380488395691,2,0,0,600,138,False,None,None
soybean-small,3,35,1.0,0.9714285714285714,0.4128420352935791,0.0,35.0,35.0,CUT1,0.45460657589137554,linear,0.9,0,0,0,0,0.3996147718280554,2,0,0,600,15,False,None,None
breast-cancer,2,214,0.6527777777777778,0.7429906542056075,7.251321792602539,0.0,214.0,214.0,CUT1,7.896073644980788,linear,|F|-1,0,0,0,0,7.218459432944655,2,1,0,600,138,False,None,None
soybean-small,3,35,1.0,1.0,0.4038059711456299,0.0,35.0,35.0,CUT1,0.44308148697018623,linear,0.9,0,0,0,0,0.38790901377797127,2,0,0,600,89,False,None,None
hayes-roth,2,99,0.3333333333333333,0.40404040404040403,2.578435182571411,0.0,99.0,99.0,CUT1,2.5674315690994263,linear,|F|-1,0,0,0,0,2.5582405366003513,2,0,0,600,15,False,None,None
soybean-small,3,35,0.9166666666666666,1.0,0.39481186866760254,0.0,35.0,35.0,CUT1,0.4340859707444906,linear,0.9,0,0,0,0,0.38152639381587505,2,0,0,600,42,False,None,None
soybean-small,3,35,0.75,0.8,0.48859095573425293,0.0,35.0,35.0,CUT1,0.5092878323048353,linear,0.9,0,0,0,0,0.46369170770049095,2,0,0,600,0,False,None,None
soybean-small,4,35,1.0,0.9714285714285714,0.4499680995941162,0.0,35.0,35.0,CUT1,0.49058073200285435,linear,0.9,0,0,0,0,0.4154062233865261,2,0,0,600,138,False,None,None
soybean-small,4,35,0.25,0.6285714285714286,0.5315098762512207,0.0,35.0,35.0,CUT1,0.6485037691891193,linear,0.9,0,0,0,0,0.49349232017993927,2,0,0,600,15,False,None,None
hayes-roth,2,99,0.24242424242424243,0.4444444444444444,2.535301923751831,0.0,99.0,99.0,CUT1,2.583794156089425,linear,|F|-1,0,0,0,0,2.5152582097798586,2,0,0,600,89,False,None,None
soybean-small,4,35,1.0,1.0,0.4677011966705322,0.0,35.0,35.0,CUT1,0.5063256360590458,linear,0.9,0,0,0,0,0.4259969647973776,2,0,0,600,89,False,None,None
soybean-small,4,35,0.25,0.4,0.4789860248565674,0.0,35.0,35.0,CUT1,0.5391365550458431,linear,0.9,0,0,0,0,0.44661451503634453,2,0,0,600,42,False,None,None
soybean-small,4,35,1.0,1.0,0.4867589473724365,0.0,35.0,35.0,CUT1,0.5718918088823557,linear,0.9,0,0,0,0,0.44966899417340755,2,0,0,600,0,False,None,None
soybean-small,5,35,0.5833333333333334,0.8285714285714286,0.6305348873138428,0.0,35.0,35.0,CUT1,0.7230925038456917,linear,0.9,0,0,0,0,0.5644593853503466,2,0,0,600,138,False,None,None
hayes-roth,2,99,0.36363636363636365,0.41414141414141414,2.628350019454956,0.0,99.0,99.0,CUT1,2.5356735307723284,linear,|F|-1,0,0,0,0,2.6065599881112576,2,0,0,600,42,False,None,None
soybean-small,5,35,0.75,0.8571428571428571,0.6039049625396729,0.0,35.0,35.0,CUT1,0.6953078955411911,linear,0.9,0,0,0,0,0.5362955126911402,2,0,0,600,15,False,None,None
soybean-small,5,35,0.6666666666666666,0.8,0.5773458480834961,0.0,35.0,35.0,CUT1,0.6447611916810274,linear,0.9,0,0,0,0,0.5049159359186888,2,0,0,600,89,False,None,None
soybean-small,5,35,0.9166666666666666,1.0,0.5707578659057617,0.0,35.0,35.0,CUT1,0.6242999788373709,linear,0.9,0,0,0,0,0.5044664405286312,2,0,0,600,42,False,None,None
breast-cancer,2,214,0.375,0.27102803738317754,7.124492883682251,0.0,214.0,214.0,CUT1,7.566193081438541,linear,|F|-1,0,0,0,0,7.094435045495629,2,1,0,600,15,False,None,None
